Pattern,Mean loss (2D),p-value vs hyperuniform_0.4 (2D),Mean loss (3D),p-value vs hyperuniform_0.4 (3D),Mean loss (4D),p-value vs hyperuniform_0.4 (4D),Mean loss (5D),p-value vs hyperuniform_0.4 (5D)
grid,-0.0743324,1,0.676639,0,0.742772,0,0.75443,0
,0.00114073,,0.000807358,,0.000160411,,3.96549e-05,
random,0,1.88103e-237,0,3.3364e-12,0,3.84318e-06,0,0.490372
,0,,0,,0,,0,
gridrandom,-0.0224847,9.14203e-149,-0.00823815,3.75783e-06,-0.00153553,0.00446622,0.00024548,0.165585
,0.00126263,,0.00351886,,0.000862686,,0.000229459,
latin,-0.00746994,5.33585e-194,-0.00663852,1.87553e-07,-0.00368274,0.295595,-0.00040333,0.975646
,0.00143827,,0.00352396,,0.000837592,,0.000226633,
sobol,-0.037275,1.6939e-28,-0.0791513,1,-0.0191003,1,-0.00442955,1
,0.00119281,,0.003374,,0.000691852,,0.000203445,
halton,-0.0279752,1.55358e-82,-0.0520167,1,-0.0165669,1,-0.00408883,1
,0.00124785,,0.00344016,,0.000711862,,0.000202812,
hyperuniform_0.4,-0.0459038,,-0.0246533,,-0.00524985,,-1.27542e-07,
,0.00115006,,0.00348308,,0.000807519,,0.000228183,
hyperuniform_0.3,-0.041831,3.70742e-14,-0.0216798,0.19588,-0.00477724,0.320184,0.000226442,0.137954
,0.00115912,,0.00349089,,0.000818707,,0.000227169,
