Pattern,Mean loss (2D),p-value vs hyperuniform_0.4 (2D),Mean loss (3D),p-value vs hyperuniform_0.4 (3D),Mean loss (4D),p-value vs hyperuniform_0.4 (4D),Mean loss (5D),p-value vs hyperuniform_0.4 (5D)
grid,-0.0738741,1,0.22808,0,0.24088,0,0.229719,0
,0.0065684,,0.00581052,,0.00461277,,0.00376116,
random,0,3.67394e-05,0,0.029627,0,0.376414,0,0.549593
,0,,0,,0,,0,
gridrandom,-0.0314636,0.485958,-0.00604169,0.185595,-0.00533361,0.873049,0.00245156,0.236078
,0.00703025,,0.00479998,,0.0037057,,0.00309137,
latin,-0.0109677,0.00338446,0.00306369,0.00347407,-0.00208291,0.613392,0.000102443,0.594296
,0.00722521,,0.00481843,,0.0037261,,0.00306535,
sobol,-0.0329385,0.576299,-0.00416383,0.189673,-0.00320632,0.758807,-0.00181994,0.720527
,0.00704185,,0.0048062,,0.00371436,,0.00306865,
halton,-0.0354937,0.722344,-0.0126026,0.745322,-0.000918558,0.480954,0.00196373,0.288708
,0.00699524,,0.0047526,,0.00372739,,0.00305412,
hyperuniform_0.4,-0.0336949,,-0.0104429,,-0.000327107,,0.00042746,
,0.00696927,,0.00477424,,0.00372087,,0.00306168,
hyperuniform_0.3,-0.036039,0.415005,-0.0118264,0.544139,-0.00461006,0.887759,-0.000945603,0.672616
,0.00691199,,0.00476257,,0.00373041,,0.00309041,
