Pattern,Mean loss (2D),p-value vs hyperuniform_0.4 (2D),Mean loss (3D),p-value vs hyperuniform_0.4 (3D),Mean loss (4D),p-value vs hyperuniform_0.4 (4D),Mean loss (5D),p-value vs hyperuniform_0.4 (5D)
grid,-0.071981,1,0.00991687,1.7596e-17,-0.00191051,0.00314778,0.00220991,0.070889
,0.00147928,,0.00415599,,0.00174638,,0.000415027,
random,0,2.45247e-213,0,6.89243e-10,0,8.07219e-06,0,0.110624
,0,,0,,0,,0,
gridrandom,-0.0454138,2.59604e-34,-0.0150849,0.0116756,-0.00658038,0.113642,-0.000105083,0.118496
,0.00157558,,0.00417862,,0.0016885,,0.00032131,
latin,-0.00513975,2.48107e-199,-0.010238,7.31519e-05,-0.00237022,0.000439878,-0.000452815,0.469422
,0.00187179,,0.00419905,,0.00171796,,0.000324734,
sobol,-0.0432832,1.61158e-32,-0.0217456,0.166564,-0.0055921,0.0178721,-0.000348934,0.405541
,0.00160498,,0.00416669,,0.00168947,,0.00032289,
halton,-0.0438471,1.50816e-30,-0.0154661,0.00562088,-0.00614396,0.0381524,-0.000535949,0.614081
,0.0016038,,0.00416841,,0.00167868,,0.000321495,
hyperuniform_0.4,-0.0570442,,-0.0252532,,-0.0100871,,-0.000465659,
,0.00153285,,0.00417775,,0.00165628,,0.000321547,
hyperuniform_0.3,-0.0511599,2.19722e-09,-0.0305278,0.929382,-0.00772072,0.0261003,-0.000821168,0.86189
,0.00156873,,0.00418729,,0.00165556,,0.000318,
