Pattern,Mean loss (2D),p-value vs hyperuniform_0.4 (2D),Mean loss (3D),p-value vs hyperuniform_0.4 (3D),Mean loss (4D),p-value vs hyperuniform_0.4 (4D),Mean loss (5D),p-value vs hyperuniform_0.4 (5D)
grid,1.10082,0,0.752036,0,0.876078,0,0.958183,0
,0.0149598,,0.00527677,,0.00442058,,0.00374569,
random,0,4.58707e-255,0,0.000341582,0,0.0407305,0,0.267749
,0,,0,,0,,0,
gridrandom,-0.315949,0.106214,-0.00760067,0.0301479,-0.00290533,0.20969,5.23155e-06,0.100333
,0.00656917,,0.0042196,,0.00335138,,0.00272786,
latin,-0.0428738,2.32584e-199,-0.00855592,0.0734493,-0.000349218,0.143884,-0.00148939,0.290094
,0.00970304,,0.00414283,,0.00330156,,0.00270051,
sobol,-0.208466,3.23326e-40,-0.0265703,0.999282,-0.0127578,0.985259,-0.0119439,0.999825
,0.00802292,,0.00406957,,0.00323337,,0.00266287,
halton,-0.191659,2.83837e-64,-0.02713,0.998795,-0.0136626,0.995176,-0.0116197,0.999658
,0.00803286,,0.00407634,,0.00325727,,0.00269252,
hyperuniform_0.4,-0.326465,,-0.0139625,,-0.00495611,,-0.00357482,
,0.00644895,,0.00417856,,0.0033046,,0.00273054,
hyperuniform_0.3,-0.270037,3.28046e-14,-0.00598911,0.0194248,-0.00328678,0.307933,-0.00313051,0.542934
,0.00717758,,0.0042491,,0.00332251,,0.00270791,
