Pattern,Mean loss (2D),p-value vs hyperuniform_0.4 (2D),Mean loss (3D),p-value vs hyperuniform_0.4 (3D),Mean loss (4D),p-value vs hyperuniform_0.4 (4D),Mean loss (5D),p-value vs hyperuniform_0.4 (5D)
grid,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,0.000,,0.000,,0.000,,0.000,
random,0.478,0.000,0.034,0.000,-0.079,0.000,-0.132,0.000
,0.028,,0.016,,0.011,,0.009,
gridrandom,0.100,0.000,-0.112,0.000,-0.153,0.000,-0.154,0.003
,0.018,,0.012,,0.010,,0.008,
latin,0.423,0.000,-0.015,0.000,-0.097,0.000,-0.132,0.000
,0.026,,0.015,,0.011,,0.009,
sobol,0.068,0.000,-0.135,0.000,-0.155,0.000,-0.172,0.329
,0.018,,0.012,,0.010,,0.008,
halton,0.096,0.000,-0.107,0.000,-0.159,0.000,-0.167,0.134
,0.018,,0.012,,0.010,,0.008,
hyperuniform_0.4,-0.056,,-0.180,,-0.187,,-0.178,
,0.015,,0.011,,0.009,,0.008,
hyperuniform_0.3,0.005,0.000,-0.171,0.256,-0.185,0.056,-0.195,0.993
,0.016,,0.012,,0.009,,0.008,
