Pattern,Mean loss (2D),p-value vs hyperuniform_0.4 (2D),Mean loss (3D),p-value vs hyperuniform_0.4 (3D),Mean loss (4D),p-value vs hyperuniform_0.4 (4D),Mean loss (5D),p-value vs hyperuniform_0.4 (5D)
grid,0.175319,0,2.0929,0,4.18067,0,5.03436,0
,0.00287846,,0.0153889,,0.00904702,,0.00239824,
random,0,5.04987e-36,0,0.000429325,0,0.0013442,0,0.696889
,0,,0,,0,,0,
gridrandom,-0.0367635,0.000125773,-0.0228187,0.156863,-0.00498314,0.148585,0.000638723,0.53586
,0.00304576,,0.0066983,,0.00242233,,0.0005656,
latin,-0.0112806,5.02809e-24,-0.0207809,0.0819512,-0.0103022,0.926696,0.000177689,0.754613
,0.00333306,,0.00673211,,0.00239229,,0.000563774,
sobol,-0.0478281,0.204395,-0.0890419,1,-0.032755,1,-0.00668425,1
,0.00289714,,0.00573526,,0.00210194,,0.000491702,
halton,-0.0441818,0.0147386,-0.0927758,1,-0.0317928,1,-0.00507968,1
,0.00292564,,0.00568866,,0.00211539,,0.00050439,
hyperuniform_0.4,-0.0505421,,-0.0329978,,-0.00846059,,0.00036897,
,0.00286361,,0.00653559,,0.00237354,,0.000563467,
hyperuniform_0.3,-0.04583,0.0405663,-0.0268768,0.202232,-0.00741056,0.615248,-1.45855e-05,0.609461
,0.00290478,,0.00659729,,0.00240454,,0.000560218,
