Pattern,Mean loss (2D),p-value vs hyperuniform_0.4 (2D),Mean loss (3D),p-value vs hyperuniform_0.4 (3D),Mean loss (4D),p-value vs hyperuniform_0.4 (4D),Mean loss (5D),p-value vs hyperuniform_0.4 (5D)
grid,-0.0867135,0.477125,-0.0393152,0.00102414,0.0302968,2.76153e-11,0.00849479,1.12224e-08
,0.00361965,,0.00788451,,0.00404245,,0.00108352,
random,0,7.7981e-55,0,7.94701e-06,0,0.142274,0,0.381394
,0,,0,,0,,0,
gridrandom,-0.0598999,5.94873e-08,-0.0417183,0.112606,-0.00438578,0.292317,-0.00184118,0.949562
,0.00404194,,0.00811206,,0.00349645,,0.000890315,
latin,-0.011563,5.34263e-39,-0.0137657,0.000601118,-0.000928754,0.252012,0.000151917,0.308733
,0.00472509,,0.00856464,,0.00353086,,0.00089765,
sobol,-0.0618226,0.000138617,-0.0481487,0.277816,-0.00501694,0.546085,-0.000115695,0.221813
,0.00405387,,0.00798358,,0.00351004,,0.00089321,
halton,-0.0580189,2.04082e-07,-0.0405102,0.0328427,-0.00539522,0.429469,0.000627883,0.0588839
,0.00408034,,0.0080456,,0.00347587,,0.000898596,
hyperuniform_0.4,-0.083226,,-0.0560203,,-0.00571079,,-0.00106014,
,0.00374321,,0.00782079,,0.00347326,,0.000878292,
hyperuniform_0.3,-0.0745094,0.00582365,-0.0621963,0.858982,-0.0108251,0.876022,-0.000819431,0.615175
,0.00384974,,0.00779844,,0.00340947,,0.000887891,
