Pattern,Mean loss (2D),p-value vs hyperuniform_0.4 (2D),Mean loss (3D),p-value vs hyperuniform_0.4 (3D),Mean loss (4D),p-value vs hyperuniform_0.4 (4D),Mean loss (5D),p-value vs hyperuniform_0.4 (5D)
grid,-0.533017,1,-0.382514,1,-0.449598,1,-0.464511,1
,0.00842799,,0.00362029,,0.00273096,,0.00215901,
random,0,1.70227e-92,0,0.0758549,0,0.0169603,0,0.0221512
,0,,0,,0,,0,
gridrandom,-0.0997967,9.90129e-16,-0.0042914,0.253699,-0.00395108,0.282595,-0.00247271,0.247975
,0.0103092,,0.003926,,0.00297842,,0.00244142,
latin,-0.0405291,2.90455e-48,-0.014284,0.929838,-0.00699738,0.664032,-0.00399926,0.546923
,0.0106707,,0.00390249,,0.00300816,,0.00245703,
sobol,-0.112167,3.2929e-09,-0.00209345,0.0779822,-0.00288245,0.194392,-0.00249903,0.146011
,0.0102058,,0.00391829,,0.00299627,,0.00243774,
halton,-0.10809,2.26793e-09,-0.000211881,0.0357007,-0.00109333,0.0494076,-0.000122788,0.0362793
,0.0102523,,0.00391289,,0.00299096,,0.00244766,
hyperuniform_0.4,-0.150406,,-0.00701701,,-0.00590419,,-0.00480752,
,0.00994421,,0.00391331,,0.00299029,,0.00245071,
hyperuniform_0.3,-0.116899,1.01547e-07,0.00138375,0.0174344,-0.0058514,0.371805,-0.00188409,0.0892881
,0.0101267,,0.00390229,,0.00299551,,0.00244734,
