Pattern,Mean loss (2D),p-value vs hyperuniform_0.4 (2D),Mean loss (3D),p-value vs hyperuniform_0.4 (3D),Mean loss (4D),p-value vs hyperuniform_0.4 (4D),Mean loss (5D),p-value vs hyperuniform_0.4 (5D)
grid,0,1.74482e-06,0,1.09982e-91,0,3.63384e-143,0,2.13659e-169
,0,,0,,0,,0,
random,0.477627,7.59832e-83,0.0341501,4.51202e-43,-0.0785553,7.98175e-24,-0.131611,9.07414e-10
,0.027631,,0.0158966,,0.011304,,0.00869857,
gridrandom,0.0999875,1.00134e-13,-0.111874,3.38198e-08,-0.153143,5.6073e-07,-0.153541,0.00258407
,0.0183889,,0.0122398,,0.00980273,,0.00841212,
latin,0.422658,3.02978e-70,-0.0147861,8.38017e-30,-0.0969801,7.53557e-19,-0.131831,2.56116e-07
,0.0258581,,0.0147828,,0.0108818,,0.00889196,
sobol,0.0676506,1.52204e-07,-0.13467,1.63004e-05,-0.15482,1.00929e-05,-0.171599,0.329045
,0.0177674,,0.0119658,,0.00967588,,0.00821523,
halton,0.0962321,1.56858e-12,-0.106587,2.32034e-10,-0.158871,9.56807e-05,-0.167254,0.133828
,0.0182336,,0.0124663,,0.00970648,,0.00824601,
hyperuniform_0.4,-0.0555309,,-0.180146,,-0.187315,,-0.178103,
,0.0149067,,0.011255,,0.00936965,,0.00793523,
hyperuniform_0.3,0.00459935,0.000271746,-0.171192,0.255914,-0.184787,0.0563461,-0.195047,0.99336
,0.0161182,,0.0118777,,0.00925709,,0.00780313,
