Pattern,Mean loss (2D),p-value vs hyperuniform_0.4 (2D),Mean loss (3D),p-value vs hyperuniform_0.4 (3D),Mean loss (4D),p-value vs hyperuniform_0.4 (4D),Mean loss (5D),p-value vs hyperuniform_0.4 (5D)
grid,-0.017522,1,-0.0931621,1,-0.0762055,1,-0.0663694,1
,0.000177371,,0.000818773,,0.000573684,,0.000442347,
random,0,1.07533e-265,0,6.47165e-86,0,1.93558e-43,0,5.64308e-33
,0,,0,,0,,0,
gridrandom,-0.00456075,6.48486e-117,-0.00427871,4.26723e-53,-0.00135899,4.20706e-35,-0.000827561,3.7836e-24
,0.000201896,,0.00104222,,0.000747713,,0.000585537,
latin,-0.00105843,7.70033e-228,-0.00172268,1.20118e-75,-0.00130184,2.52964e-33,-0.000659953,1.2667e-25
,0.000235822,,0.00104776,,0.000755048,,0.000583067,
sobol,-0.00609727,2.26914e-33,-0.0122317,1.51168e-16,-0.00734782,1.12498e-05,-0.00416293,3.95767e-07
,0.000196155,,0.00102104,,0.00073069,,0.000570927,
halton,-0.00603013,4.40035e-34,-0.0105848,1.21052e-22,-0.00666837,6.63637e-08,-0.00389337,7.03284e-08
,0.000197267,,0.00101569,,0.000732278,,0.000571255,
hyperuniform_0.4,-0.00786736,,-0.0200364,,-0.0101775,,-0.00666063,
,0.000186718,,0.000984336,,0.00071745,,0.00056353,
hyperuniform_0.3,-0.00684584,5.2191e-20,-0.0181648,0.0190806,-0.0103469,0.719138,-0.0058719,0.109423
,0.000190675,,0.000997548,,0.00071769,,0.000564742,
