Pattern,Mean loss (2D),p-value vs hyperuniform_0.4 (2D),Mean loss (3D),p-value vs hyperuniform_0.4 (3D),Mean loss (4D),p-value vs hyperuniform_0.4 (4D),Mean loss (5D),p-value vs hyperuniform_0.4 (5D)
grid,0.407606,0,0.217861,0,0.305589,0,0.364816,0
,0.0112543,,0.00580906,,0.00511074,,0.00461541,
random,0,0.0010571,0,0.0671764,0,0.510397,0,0.299158
,0,,0,,0,,0,
gridrandom,-0.0313697,0.64467,-0.00196325,0.0960687,-0.0017037,0.535258,0.000670862,0.220631
,0.00696777,,0.00481325,,0.00374797,,0.00308725,
latin,-0.0182706,0.0806284,-0.00547411,0.414905,0.00204746,0.267212,8.23793e-05,0.344984
,0.00706443,,0.00476272,,0.00375322,,0.00308605,
sobol,-0.0460401,0.988381,-0.0174539,0.947837,-0.00822879,0.972516,-0.0082631,0.990747
,0.00684282,,0.00466089,,0.00367936,,0.00306166,
halton,-0.0436509,0.986479,-0.022073,0.997547,-0.0124137,0.99748,-0.00309487,0.837152
,0.00683282,,0.00466227,,0.00364313,,0.0030495,
hyperuniform_0.4,-0.0278917,,-0.00840971,,-0.000888277,,-0.000394203,
,0.00699205,,0.0047673,,0.00373779,,0.00307637,
hyperuniform_0.3,-0.0412353,0.976326,-0.00333203,0.145357,-0.000286054,0.374064,-0.00418468,0.899119
,0.00688746,,0.00477711,,0.00373954,,0.00306211,
