Pattern,Mean loss (2D),p-value vs hyperuniform_0.4 (2D),Mean loss (3D),p-value vs hyperuniform_0.4 (3D),Mean loss (4D),p-value vs hyperuniform_0.4 (4D),Mean loss (5D),p-value vs hyperuniform_0.4 (5D)
grid,-0.427003,5.21974e-11,0.0563983,0,0.24052,0,0.333138,0
,0.00696109,,0.0108741,,0.00961537,,0.00814274,
random,0,6.05431e-253,0,4.17839e-101,0,1.92181e-33,0,4.56166e-17
,0,,0,,0,,0,
gridrandom,-0.315417,2.20077e-55,-0.147939,2.51751e-28,-0.058396,9.09492e-10,-0.0282069,1.20267e-06
,0.00911934,,0.0098669,,0.00817405,,0.00661272,
latin,-0.0463369,7.68916e-228,-0.0286914,1.76697e-91,-0.00699257,1.18495e-29,-0.00635875,1.91286e-15
,0.0138872,,0.0116553,,0.00886687,,0.00679562,
sobol,-0.315946,5.95999e-53,-0.164921,3.03442e-21,-0.0773162,2.15703e-06,-0.035598,7.06785e-05
,0.00914854,,0.00957694,,0.00792847,,0.00652395,
halton,-0.306253,1.38973e-63,-0.161298,1.09119e-19,-0.071744,4.92358e-07,-0.03004,7.64065e-07
,0.00926177,,0.00974899,,0.00799566,,0.00653458,
hyperuniform_0.4,-0.455257,,-0.249816,,-0.10844,,-0.0621506,
,0.00680395,,0.00849772,,0.00765989,,0.0062939,
hyperuniform_0.3,-0.404047,1.43979e-14,-0.244407,0.164511,-0.114632,0.751645,-0.0567008,0.137683
,0.00755678,,0.00848677,,0.00756804,,0.00631646,
